Year,Dietary_Energy_Adequacy,Prevalence_of_Undernourishment_in_percent,Number_of_Undernourished_People_in_percent,Consumer_Price_Index_in_percent
2001,133,6.3,1.64,84.168
2002,134,5.9,1.65,86.521
2003,135,5.6,1.58,87.532
2004,136,5.6,1.53,88.839
2005,137,5.5,1.51,89.712
2006,137,5.8,1.52,92.659
2007,137,5.6,1.53,94.551
2008,137,5.7,1.54,98.063
2009,137,5.5,1.58,99.016
2010,138,5.1,1.56,100
2011,139,4.6,1.47,100.907
2012,140,4.4,1.41,102.206
2013,141,4.1,1.36,104.128
2014,141,4.0,1.33,104.588
2015,142,3.8,1.24,106.218
2016,142,3.7,1.25,107.955
2017,142,3.6,1.19,108.77
2018,142,3.6,1.23,110.732
2019,142,4.2,1.41,111.068
2020,141,5.3,1.84,111.852
2021,140,6.3,2.24,113.42
2022,140,6.33,2.43,120.97
2023,142,6.3,2.3,118.7
